render_id,suno_song_id,title,original_filename,drive_file_id,drive_url,created_at_utc,duration_seconds,file_size_bytes,sha256,md5,sample_rate,channels,bitrate,duplicate_group_id,sibling_pair_id,lineage_id,inferred_parent_render_id,lineage_confidence,evidence_status,notes
REND-011,7092929d-c2e3-44df-9f4c-d0b7b3b0c40d,Barcelona Nights,Barcelona Nights (1).mp3,1tsv3Q8wxBdbOCvd56bXFkphDu80x05ev,https://drive.google.com/file/d/1tsv3Q8wxBdbOCvd56bXFkphDu80x05ev/view?usp=drivesdk,2026-07-30T02:41:41.727241+00:00,158.200167,4023704,9b0fdb5dcf8329587875c50ac828ac91c67f7f162956833f3bebfecd274c812f,b277fe8cdd4259bd679c262b9e96b632,48000,2,203474,,SIB-003,,,,verified_from_id3_and_hash,
REND-012,17d4f508-18f5-4288-a4a3-496b2c81a71c,Barcelona Nights,Barcelona Nights.mp3,1SFacD-YWAjRCk34xBxQ0KS27mJjRAKM8,https://drive.google.com/file/d/1SFacD-YWAjRCk34xBxQ0KS27mJjRAKM8/view?usp=drivesdk,2026-07-30T02:41:41.727322+00:00,148.680979,3311127,9afd56ce515614b98a8155dcc47287cd2a60132bac2a36d99fb08ebf256445a4,3d4cf6820eacd9ed35d0dcd1de39d6b9,48000,2,178160,,SIB-003,,,,verified_from_id3_and_hash,
REND-013,69d7b10a-e69f-4857-b3dd-15ab2d1d71ac,Fusion rap,Fusion rap (1).mp3,155ZdFfLUiDljmaQApipWCyN7bxMPNzTj,https://drive.google.com/file/d/155ZdFfLUiDljmaQApipWCyN7bxMPNzTj/view?usp=drivesdk,2026-07-30T03:04:43.175501+00:00,151.400167,3638353,8dfb6bfd05169d0448e2ab7c62fc2f9d14d915ad403b75b3f5e5cf2d2992d103,b4d14ab5d6284e528def4fbb7bb2d2f1,48000,2,192250,,SIB-004,,,,verified_from_id3_and_hash,
REND-014,e96beb84-ccee-4b2c-b9dd-32d499bee922,Fusion rap,Fusion rap.mp3,1J71ZSavuIlK3v9fP_a483N34NvgFEG2v,https://drive.google.com/file/d/1J71ZSavuIlK3v9fP_a483N34NvgFEG2v/view?usp=drivesdk,2026-07-30T03:04:43.175582+00:00,141.800167,3397998,48764e2ae65afbe8e632e3b5a372787fe9a221ddecc0cab393defc7fb67cec0f,291efde31db9c798e3beca81acc0bd73,48000,2,191706,,SIB-004,,,,verified_from_id3_and_hash,
REND-015,ed989eb1-5a71-43de-847b-a2f5a8c8e63d,From Mud to Diamonds,From Mud to Diamonds.mp3,11Br28jjWRcz6KF4GnJo2JNdAfMbWWqFU,https://drive.google.com/file/d/11Br28jjWRcz6KF4GnJo2JNdAfMbWWqFU/view?usp=drivesdk,2026-07-30T03:21:16.926839+00:00,217.720167,5183915,d93283644d2e789442568c989dbe65bbd59022820fa42d2e2946d13534f87074,906088004b84fb927e513e29e034823c,48000,2,190479,,,,,,verified_from_id3_and_hash,
REND-016,61db0974-94df-4de9-8201-f172baecc32b,Chasing After Gold,Chasing After Gold.mp3,1DIknSNSrnd_uge-qhDv_fvyHA-rpaBmL,https://drive.google.com/file/d/1DIknSNSrnd_uge-qhDv_fvyHA-rpaBmL/view?usp=drivesdk,2026-07-30T04:09:30.563368+00:00,149.800167,3499734,843143ec65092555b947d2e4b2e17045a3ddfee0913c95b2dea0717d492f415d,2d92d16f389ea4fd5911dd4a90e39069,48000,2,186901,,,,,,verified_from_id3_and_hash,
REND-017,2b73e660-d719-4794-877d-5bfa34acdc74,Tapas & Paella,Tapas & Paella.mp3,1hRxSK1hj0iarc6J_yIWD22sL88XIfIQ6,https://drive.google.com/file/d/1hRxSK1hj0iarc6J_yIWD22sL88XIfIQ6/view?usp=drivesdk,2026-07-30T13:04:00.083553+00:00,127.040167,3002567,2df97902c1c19529e41e33aebb005e4fc9e5dd3565c447c8340f35643d54f1a8,e2fe908b92d6c4168df0a8b65afd7377,48000,2,189078,,,,,,verified_from_id3_and_hash,
REND-018,9b186659-c7d6-4bb4-b360-4819eb7aff0e,Real Madrid,Real Madrid (1).mp3,1Gww6iF2I8R8uarnFPSAmstaeZzpne-Qi,https://drive.google.com/file/d/1Gww6iF2I8R8uarnFPSAmstaeZzpne-Qi/view?usp=drivesdk,2026-08-04T02:56:59.780213+00:00,264.720979,6136323,cc5029780bd8d0aa067be1b60b2f791ed5ba51e2e16b626fa67078ffe078c555,2975cbd7ffa3a5c6c16569a2e0a26118,48000,2,185442,,,,,,verified_from_id3_and_hash,
REND-019,651c183f-fbf5-46f3-9f09-f5b676ba29fd,Real Madrid,Real Madrid.mp3,19B9NB0-Xn-J2CaxGHwOF2_t_SHc8q2kP,https://drive.google.com/file/d/19B9NB0-Xn-J2CaxGHwOF2_t_SHc8q2kP/view?usp=drivesdk,2026-08-04T04:05:29.168156+00:00,228.440167,5598716,7012684221e973049f13f863107d089b3a549904e8445702f1dbb9aae419b2db,f94f26996c392b8837ea452c75173958,48000,2,196067,,,,,,verified_from_id3_and_hash,
REND-020,c7ba4307-8d3d-463b-bf57-fe786974fced,I Keep My Circle Tight,I Keep My Circle Tight (2).mp3,1VdiReFAiaitfKjVAaiEsPuNgGsqNDKir,https://drive.google.com/file/d/1VdiReFAiaitfKjVAaiEsPuNgGsqNDKir/view?usp=drivesdk,2026-08-04T04:24:10.622430+00:00,189.400167,4353924,c71c5ecbc30ff08d7ec4a1565ae03f52a939488adbf10e4dcb76b655b6d7e17a,9b2d4f300651732a65340c7fef6123b3,48000,2,183903,DUP-003,SIB-005,,,,verified_from_id3_and_hash,"Primary of 2 Drive copies sharing this render; see DUPLICATE_GROUPS.csv for the rest. Primary chosen as earliest Drive createdTime -- this is a bookkeeping choice for a single representative row, not a canon/quality judgment."
REND-021,8541b12e-bcc5-49ee-ad19-691b045478ec,I Keep My Circle tight,I Keep My Circle tight (1).mp3,1yQfjywT-H26JESlczHyedGf6R8s-Wv7t,https://drive.google.com/file/d/1yQfjywT-H26JESlczHyedGf6R8s-Wv7t/view?usp=drivesdk,2026-08-04T04:24:10.622516+00:00,185.920167,4386751,2ceda7a9dc4a07da0d47d5c8ca6699ccc36341dd3e795201bfc55e67fe390e74,8b73d0f0cf42fcd2f3cd478fe78d7bd7,48000,2,188758,,SIB-005,,,,verified_from_id3_and_hash,
REND-022,aaf957b9-a5d3-4ff6-b2a9-3682ac2b12ba,Golden string cypher,Golden string cypher (3).mp3,1XkGXa0uPQGblppMEEl-Og3P-FaOKl_W3,https://drive.google.com/file/d/1XkGXa0uPQGblppMEEl-Og3P-FaOKl_W3/view?usp=drivesdk,2026-08-04T04:24:48.924863+00:00,232.160167,5443383,e3a834a6c0976e0f455ce4b322650def9635ed9abcbbbaad323125797cd6f166,b9f3dde1116f05d5a0e21c731c04d673,48000,2,187573,,,,,,verified_from_id3_and_hash,
REND-023,582fa008-c413-4ed1-af72-fd5153bf964f,Circle Stays Tight,Circle Stays Tight (1).mp3,1N9TuCrqugQkbokT7VLjKVoe8Qo71w5hU,https://drive.google.com/file/d/1N9TuCrqugQkbokT7VLjKVoe8Qo71w5hU/view?usp=drivesdk,2026-08-04T13:10:30.380196+00:00,194.480167,4747292,250604f9f1dc3770984ac0e5d499e9568551aeea898175ea11e044165adc4e61,e7b6e6cb2f00124409e13fdd91565638,48000,2,195281,,SIB-006,,,,verified_from_id3_and_hash,
REND-024,038fafd5-1a78-4d85-8722-6b5220d832e5,Circle Stays Tight,Circle Stays Tight.mp3,100XMdMAECob7wvwHO-9VY89M6gRJfyam,https://drive.google.com/file/d/100XMdMAECob7wvwHO-9VY89M6gRJfyam/view?usp=drivesdk,2026-08-04T13:10:30.380278+00:00,185.400979,4469123,dc702ce49fb034bd336187142c40a9fd19b6f3dc8258398805a125ffcc213898,97cb8803ce245f6d3fba70743776642e,48000,2,192841,,SIB-006,,,,verified_from_id3_and_hash,
REND-025,17b17cac-cc7d-40b2-83f3-86daa8dccc2d,Golden string cypher,Golden string cypher (2).mp3,12nYfDQ9mxflgu_bZX1tZ5Vd8bFNHcSR0,https://drive.google.com/file/d/12nYfDQ9mxflgu_bZX1tZ5Vd8bFNHcSR0/view?usp=drivesdk,2026-08-04T14:33:31.230994+00:00,195.400167,4530240,ee7f1b14c4a69ec183be6c16ed31d85f37dba8152fd0616174f0f82abb7959c8,9072b62597fc4886e91448d13c49a5cd,48000,2,185475,,,,,,verified_from_id3_and_hash,
REND-026,0609df72-4927-4ce8-9ecc-168db75ef981,Golden string cypher,Golden string cypher (1).mp3,1n-5wXy_I3fTXmMUEw-B54yQTLs6-sVGz,https://drive.google.com/file/d/1n-5wXy_I3fTXmMUEw-B54yQTLs6-sVGz/view?usp=drivesdk,2026-08-05T14:11:50.766745+00:00,228.880167,5339513,8349ec6eb099f722bfb79ab788777003b1d0022f14f3a3417ed4b6b59b3198e5,84655c20416d6c75fc6dec9f36dd1442,48000,2,186630,,,,,,verified_from_id3_and_hash,
REND-027,5cbf5204-e70f-4268-9749-23bdb59acbd8,Real Madrid (Remastered),Real Madrid (Remastered).mp3,1aFzw1fI5uK5_IGiU4mTtq7x27QCF0CO8,https://drive.google.com/file/d/1aFzw1fI5uK5_IGiU4mTtq7x27QCF0CO8/view?usp=drivesdk,2026-08-05T23:02:42.798367+00:00,262.119979,6059182,4d25c6680e2dbc397615b43b86a00a493042261e54710a6f0c7494a457755daa,d4192dbf3caa43e0dfabb2f08be6b79e,48000,2,184928,,,LIN-002,REND-009,medium,verified_from_id3_and_hash,
REND-028,d3bb3eea-9b98-4944-8728-0cb65a831357,Real Madrid  (Remastered),Real Madrid  (Remastered).mp3,1kyT7YMHjK2KlE63zpbeyS0zBU-zhbub4,https://drive.google.com/file/d/1kyT7YMHjK2KlE63zpbeyS0zBU-zhbub4/view?usp=drivesdk,2026-08-06T03:57:48.100935+00:00,264.919979,6212444,2eadfbe5554e5265598bacc5227df0b3aa44c450211a6c7a0e213b2900640026,ee2625dd1f70ce799a322825e590c997,48000,2,187602,,,LIN-003,REND-009,medium,verified_from_id3_and_hash,
REND-029,569b99cf-d0b2-4624-9086-63339dcc988b,Circle Stays Tight (All The Way Up Remix),Circle Stays Tight (All The Way Up Remix) (3).mp3,11T3mJnb97VivI0pLA0PA1XOuJoH4KK52,https://drive.google.com/file/d/11T3mJnb97VivI0pLA0PA1XOuJoH4KK52/view?usp=drivesdk,2026-08-06T19:06:56.285884+00:00,191.920167,4626600,3a48bbf06f60bdd1d10004d96e796e9a96d3b7650adb4eb637c18e048bc92c69,34e38c74440ef54cfdc1e8366da2a915,48000,2,192855,DUP-001,SIB-007,,,,verified_from_id3_and_hash,"Primary of 2 Drive copies sharing this render; see DUPLICATE_GROUPS.csv for the rest. Primary chosen as earliest Drive createdTime -- this is a bookkeeping choice for a single representative row, not a canon/quality judgment."
REND-030,580bc641-92af-434f-a20e-b3d8dc2cd955,Circle Stays Tight (All The Way Up Remix),Circle Stays Tight (All The Way Up Remix) (2).mp3,1SEVs8rMk5w1GqyimWEDzbsBalqh-AxFE,https://drive.google.com/file/d/1SEVs8rMk5w1GqyimWEDzbsBalqh-AxFE/view?usp=drivesdk,2026-08-06T19:06:56.285965+00:00,192.920167,4591684,7761c6b2d0d47d66929a8eb57b7ed3ad3ce7fab343e0d8e279280dc87309f7b2,d46a556385a39112a479e2df3a8f9edb,48000,2,190407,DUP-002,SIB-007,,,,verified_from_id3_and_hash,"Primary of 2 Drive copies sharing this render; see DUPLICATE_GROUPS.csv for the rest. Primary chosen as earliest Drive createdTime -- this is a bookkeeping choice for a single representative row, not a canon/quality judgment."
REND-031,9222a684-cd49-4eca-b6dd-5bf762c20ee6,Golden string cypher,Golden string cypher (5).mp3,1jOO8trmH2P4zjkCq0jhwS6zyG9o_wRKQ,https://drive.google.com/file/d/1jOO8trmH2P4zjkCq0jhwS6zyG9o_wRKQ/view?usp=drivesdk,2026-08-06T21:08:04.310817+00:00,229.400167,5297604,94b5d94488171025ba5057487d669ff91d6877ef46e85ce43e820e03b67ea23e,41e80aec2d0e26a64bdd8398fa3c6c13,48000,2,184746,,SIB-008,,,,verified_from_id3_and_hash,
REND-032,5a12678d-1600-4668-966f-5faf7ae0abd5,Golden string cypher,Golden string cypher (4).mp3,1Wa9aNQL8CUIYo2VRFeAXBdrnp9Gd2vZl,https://drive.google.com/file/d/1Wa9aNQL8CUIYo2VRFeAXBdrnp9Gd2vZl/view?usp=drivesdk,2026-08-06T21:08:04.310899+00:00,249.800167,5769520,4585bbea3f59de99d1ad9e61f53d3178df474972a1fbf667f774f87991309bcd,5abcdd3fee63d8011c9089a3d22b3f54,48000,2,184772,,SIB-008,,,,verified_from_id3_and_hash,
REND-UNK-01,,Golden string cypher,Golden string cypher.mp3,14Fnd_TB-7Cv42s3wA-WFwakqzfF2tl8G,https://drive.google.com/file/d/14Fnd_TB-7Cv42s3wA-WFwakqzfF2tl8G/view?usp=drivesdk,,,6588484,,,,,,,,,,,download_failed_metadata_only,"Drive download_file_content failed repeatedly for this file (MCP session errors); hash, duration, and Suno tags are unavailable. Title/size/timestamps are from the Drive file listing only."
REND-UNK-02,,Gypsy Strings (Trap Femme Edit),Gypsy Strings (Trap Femme Edit).mp3,1R39wxWwiWopsy61faCnITE77MWC1VfDR,https://drive.google.com/file/d/1R39wxWwiWopsy61faCnITE77MWC1VfDR/view?usp=drivesdk,,,6440259,,,,,,,,,,,download_failed_metadata_only,"Drive download_file_content failed repeatedly for this file (MCP session errors); hash, duration, and Suno tags are unavailable. Title/size/timestamps are from the Drive file listing only."
