record_id,original_filename,drive_file_id,drive_url,source_folder,suno_song_id,suno_song_url,created_at_utc,duration_seconds,file_size_bytes,sha256,md5,sample_rate,channels,bitrate,genre_family_by_title,paired_take_family,has_artwork,artwork_sha256,lyrics_availability,prompt_availability,tempo_bpm_estimate,spectral_centroid_hz_mean,percussive_energy_ratio,signal_features_note,cross_folder_match_render_id,cross_folder_evidence,confirmed_or_candidate_parent,lineage_confidence,generation_depth,owner_rating,owner_notes,analyst_observations,canon_status,release_status,unresolved_questions,download_status,evidence_status,id3_error,ffprobe_error,size_matches_drive_listing,notes
FSF-011,Concrete Flow Fundamentals Studio Pocket Remix_1.mp3,1TPpQotNBZ6l0EvA7JBj852qP0t--n2A0,https://drive.google.com/file/d/1TPpQotNBZ6l0EvA7JBj852qP0t--n2A0/view?usp=drivesdk,primary_flow_state_batch,,,,,7171656,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 consecutive attempts, same error)"
FSF-012,Flow State Fundamentals Playful Reggae Mix.mp3,1-WJwhx1fIglRNnrYGwi8weINu-DLHMHw,https://drive.google.com/file/d/1-WJwhx1fIglRNnrYGwi8weINu-DLHMHw/view?usp=drivesdk,primary_flow_state_batch,2869cb8c-4a80-4e6c-b151-5b7c6beba40c,,2026-08-07T00:00:31+00:00,261.360979,6108984,fa69693005be6a840296b7807c8a9085834f4132d5f6e5252cace828b80336ed,63d49c1fc7ea9630db4b16377f09fc7a,48000,2,186989,Playful Reggae Mix,FSF-SIB-001,False,,not_embedded,not_embedded_in_id3,97.0,4715.9,0.26,"Automated librosa signal features (tempo/spectral/percussive-ratio) analyzed on up to the first 180s. These are objective DSP measurements, not a genre or instrument classification -- no perceptual listening was performed.",,,none_identified,unknown,unknown,,,"Title implies 'Playful Reggae Mix' style variant. Duration 261.4s, tempo estimate 97.0 BPM (automated DSP, not a listened judgment), percussive-energy ratio 0.26. No perceptual genre/instrument/vocal-delivery observation was made -- no listening capability available to this workstream.",not_canon,unresolved,Original ~4-minute rap-writing-guidance parent track not identified in either Drive folder; no Suno-native parent/remix link recovered for this render; perceptual genre/instrumentation/vocal-delivery not evaluated.,ok,verified_from_id3_and_hash,,,True,
FSF-013,Flow State Fundamentals Playful Reggae Mix_1.mp3,19_JPCDuY4JsD31lGf4zZrR6-otQKkLBi,https://drive.google.com/file/d/19_JPCDuY4JsD31lGf4zZrR6-otQKkLBi/view?usp=drivesdk,primary_flow_state_batch,46a6e039-2761-4380-88c5-2b80110ddad7,,2026-08-07T00:00:30+00:00,270.680167,6381576,f3bafa279674c7035869076313b736d56230dfdceebc8b4632d2ccbe5f878949,636ff5446c38dc67c656872148a701eb,48000,2,188608,Playful Reggae Mix,FSF-SIB-001,False,,not_embedded,not_embedded_in_id3,97.0,4413.4,0.27,"Automated librosa signal features (tempo/spectral/percussive-ratio) analyzed on up to the first 180s. These are objective DSP measurements, not a genre or instrument classification -- no perceptual listening was performed.",,,none_identified,unknown,unknown,,,"Title implies 'Playful Reggae Mix' style variant. Duration 270.7s, tempo estimate 97.0 BPM (automated DSP, not a listened judgment), percussive-energy ratio 0.27. No perceptual genre/instrument/vocal-delivery observation was made -- no listening capability available to this workstream.",not_canon,unresolved,Original ~4-minute rap-writing-guidance parent track not identified in either Drive folder; no Suno-native parent/remix link recovered for this render; perceptual genre/instrumentation/vocal-delivery not evaluated.,ok,verified_from_id3_and_hash,,,True,
FSF-014,Flow State Fundamentals Reggaetón Fusion Experiment.mp3,1YuurOYXgnT0IgdpmzbaovgPJsyCHfF2v,https://drive.google.com/file/d/1YuurOYXgnT0IgdpmzbaovgPJsyCHfF2v/view?usp=drivesdk,primary_flow_state_batch,,,,,7018728,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"mcp__claude_ai_Google_Drive__download_file_content returned 'MCP server ""claude.ai Google Drive"" session expired' on 3 consecutive attempts in this run; session requires re-authentication, not retryable in this non-interactive session"
FSF-015,Flow State Fundamentals Reggaetón Fusion Experiment_1.mp3,1XWP_oiDIjLrBHBW99f3obR-mxY6z4LrE,https://drive.google.com/file/d/1XWP_oiDIjLrBHBW99f3obR-mxY6z4LrE/view?usp=drivesdk,primary_flow_state_batch,,,,,6722472,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"mcp__claude_ai_Google_Drive__download_file_content returned 'MCP server ""claude.ai Google Drive"" session expired' on 3 consecutive attempts in this run; get_file_metadata for the same fileId succeeded instantly, so the failure is specific to download_file_content, not a general connector outage; not retryable in this non-interactive session"
FSF-016,Flow State Fundamentals Reggaetón Fusion Experiment_2.mp3,16yEIWWzZ7wmptSzmtktvtti8LUbK7Npj,https://drive.google.com/file/d/16yEIWWzZ7wmptSzmtktvtti8LUbK7Npj/view?usp=drivesdk,primary_flow_state_batch,,,,,6632184,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server 'claude.ai Google Drive' session expired (auth). Retried once (2 attempts total), identical error both times; not a transient failure."
FSF-017,Flow State Fundamentals Reggaetón Fusion Experiment_3.mp3,1HS26YVroFVmEDht0XSEtUOp3tdNgqQkN,https://drive.google.com/file/d/1HS26YVroFVmEDht0XSEtUOp3tdNgqQkN/view?usp=drivesdk,primary_flow_state_batch,,,,,6628080,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server 'claude.ai Google Drive' session expired (auth). Retried once (2 attempts total), identical error both times; not a transient failure."
FSF-018,Flow State Fundamentals Slow Burn Version.mp3,18iCpw4JIlxTJsgxmICBhzxRp00jCuk4g,https://drive.google.com/file/d/18iCpw4JIlxTJsgxmICBhzxRp00jCuk4g/view?usp=drivesdk,primary_flow_state_batch,,,,,6705456,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 consecutive attempts)"
FSF-019,Flow State Fundamentals Slow Burn Version_1.mp3,1KmQHygHC1TSRr4tnq7jIs0VM_wVlwMP6,https://drive.google.com/file/d/1KmQHygHC1TSRr4tnq7jIs0VM_wVlwMP6/view?usp=drivesdk,primary_flow_state_batch,,,,,7147032,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,download_failed_metadata_only,,,,"MCP server ""claude.ai Google Drive"" session expired (3 consecutive attempts)"
FSF-020,Flow State Fundamentals.mp3,1Zkm07XXEN7KjGrIikCTlUl5TTs0sYszx,https://drive.google.com/file/d/1Zkm07XXEN7KjGrIikCTlUl5TTs0sYszx/view?usp=drivesdk,primary_flow_state_batch,1204194e-07cb-4b32-88a9-31c4b92b05ec,,2026-08-06T23:46:24+00:00,244.960167,5649096,0886678d3329ccb1eab3b6b5e61868ad5c9189d95d0be0409241ecb145e21308,3a64f89ae0c86c97a211a7e4aca42553,48000,2,184490,Flow State Fundamentals (base),FSF-SIB-002,False,,not_embedded,not_embedded_in_id3,100.4,4487.7,0.208,"Automated librosa signal features (tempo/spectral/percussive-ratio) analyzed on up to the first 180s. These are objective DSP measurements, not a genre or instrument classification -- no perceptual listening was performed.",,,none_identified,unknown,unknown,,,"Title implies 'Flow State Fundamentals (base)' style variant. Duration 245.0s, tempo estimate 100.4 BPM (automated DSP, not a listened judgment), percussive-energy ratio 0.208. No perceptual genre/instrument/vocal-delivery observation was made -- no listening capability available to this workstream.",not_canon,unresolved,Original ~4-minute rap-writing-guidance parent track not identified in either Drive folder; no Suno-native parent/remix link recovered for this render; perceptual genre/instrumentation/vocal-delivery not evaluated.,ok,verified_from_id3_and_hash,,,True,
FSF-021,Flow State Fundamentals_1.mp3,17cGrqAv4tXvkITSLCzekv5z6iqfs4msH,https://drive.google.com/file/d/17cGrqAv4tXvkITSLCzekv5z6iqfs4msH/view?usp=drivesdk,primary_flow_state_batch,e95ba3c7-1374-4d9a-b740-d1bf69d43452,,2026-08-06T23:46:23+00:00,267.200167,6252360,2c5d348cc0461b72346b48d55b3148bc64531da5dff29f3be4d036c1f9e758c6,17b5619ddfd9192f32b5c8a51b2cfe58,48000,2,187196,Flow State Fundamentals (base),FSF-SIB-002,False,,not_embedded,not_embedded_in_id3,100.4,3701.9,0.229,"Automated librosa signal features (tempo/spectral/percussive-ratio) analyzed on up to the first 180s. These are objective DSP measurements, not a genre or instrument classification -- no perceptual listening was performed.",,,none_identified,unknown,unknown,,,"Title implies 'Flow State Fundamentals (base)' style variant. Duration 267.2s, tempo estimate 100.4 BPM (automated DSP, not a listened judgment), percussive-energy ratio 0.229. No perceptual genre/instrument/vocal-delivery observation was made -- no listening capability available to this workstream.",not_canon,unresolved,Original ~4-minute rap-writing-guidance parent track not identified in either Drive folder; no Suno-native parent/remix link recovered for this render; perceptual genre/instrumentation/vocal-delivery not evaluated.,ok,verified_from_id3_and_hash,,,True,
